File	Sorted	Length	CER	CER(sorted)	1-cos	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
00439062.xml	false	1648	0.177	0.177	0.052	0.085	0.19	0.296	0.385	0.455	0.514	0.565	0.612	0.653	0.692
00439282.xml	true	2026	0.202	0.202	0.048	0.105	0.213	0.327	0.416	0.489	0.551	0.606	0.653	0.696	0.731
00439312.xml	true	2009	0.165	0.165	0.046	0.09	0.18	0.27	0.35	0.413	0.468	0.516	0.562	0.603	0.642
00439216.xml	true	1972	0.219	0.219	0.071	0.124	0.251	0.376	0.467	0.539	0.599	0.651	0.697	0.735	0.769
00439153.xml	true	1973	0.226	0.226	0.048	0.111	0.222	0.345	0.449	0.529	0.592	0.648	0.699	0.742	0.782
00439272.xml	true	2015	0.298	0.298	0.071	0.12	0.273	0.412	0.525	0.609	0.675	0.732	0.78	0.817	0.849
00439248.xml	true	1992	0.202	0.202	0.043	0.091	0.201	0.313	0.403	0.478	0.544	0.603	0.654	0.699	0.739
00439122.xml	true	2023	0.221	0.221	0.063	0.117	0.236	0.349	0.443	0.519	0.581	0.639	0.687	0.73	0.768
00439047.xml	true	2064	0.279	0.279	0.059	0.121	0.274	0.397	0.483	0.543	0.597	0.644	0.686	0.721	0.752
00439347.xml	true	1997	0.164	0.164	0.044	0.085	0.176	0.27	0.344	0.409	0.467	0.518	0.564	0.606	0.642
00439077.xml	true	2049	0.134	0.134	0.035	0.077	0.146	0.221	0.282	0.338	0.388	0.431	0.472	0.509	0.543
00439340.xml	true	2023	0.132	0.132	0.032	0.065	0.146	0.222	0.288	0.348	0.4	0.45	0.495	0.535	0.568
00439252.xml	true	2004	0.138	0.138	0.051	0.084	0.166	0.244	0.312	0.376	0.433	0.483	0.528	0.57	0.608
00439178.xml	false	1992	0.165	0.165	0.041	0.09	0.175	0.271	0.349	0.418	0.476	0.526	0.571	0.612	0.648
00439207.xml	true	1983	0.213	0.213	0.054	0.111	0.219	0.329	0.421	0.493	0.55	0.603	0.65	0.692	0.728
00439418.xml	true	2069	0.151	0.151	0.039	0.078	0.17	0.252	0.322	0.384	0.438	0.485	0.528	0.568	0.604
00439079.xml	true	2077	0.149	0.149	0.047	0.088	0.18	0.266	0.343	0.413	0.474	0.525	0.572	0.614	0.65
